Muscle,KNN_TD_Accuracy,KNN_FD_Accuracy,KNN_WF_Accuracy,SVM_TD_Accuracy,SVM_FD_Accuracy,SVM_WF_Accuracy,Random Forest_TD_Accuracy,Random Forest_FD_Accuracy,Random Forest_WF_Accuracy,Decision Tree_TD_Accuracy,Decision Tree_FD_Accuracy,Decision Tree_WF_Accuracy
BF,66.6666666666667,83.3333333333333,50,83.3333333333333,50,50,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,100,66.6666666666667
VM,66.6666666666667,83.3333333333333,50,83.3333333333333,50,50,66.6666666666667,83.3333333333333,66.6666666666667,66.6666666666667,100,66.6666666666667
ST,66.6666666666667,83.3333333333333,50,83.3333333333333,50,50,66.6666666666667,100,50,66.6666666666667,100,66.6666666666667
RF,66.6666666666667,83.3333333333333,50,83.3333333333333,50,50,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,100,66.6666666666667
